scen,bev_type,SSB_status,cont_type,impact_type,item,value
scen2_2,tea,SSB,alum_can,ghg,bev,0
scen2_2,tea,SSB,alum_can,h2o,bev,0
scen2_2,tea,SSB,glass,ghg,bev,0
scen2_2,tea,SSB,glass,h2o,bev,0
scen2_2,tea,SSB,plastic,ghg,bev,0
scen2_2,tea,SSB,plastic,h2o,bev,0
scen2_2,tea,SSB,bag_in_box,ghg,bev,0
scen2_2,tea,SSB,bag_in_box,h2o,bev,0
scen2_2,water_bottled,non_SSB,plastic,ghg,bev,3961809.1123512
scen2_2,water_bottled,non_SSB,plastic,h2o,bev,219164.4018861
scen2_2,water_ucsb,non_SSB,steel_bott_reuse,ghg,bev,0
scen2_2,water_ucsb,non_SSB,steel_bott_reuse,h2o,bev,0
scen2_3,coffee,non_SSB,alum_can,ghg,bev,54009.390201580456
scen2_3,coffee,non_SSB,alum_can,h2o,bev,1404.6002481075136
